Airline,Weekday,Date,Departure Time,Departure Meridiem,Price
United Airlines,Mon,13,4:58,pm,312
United Airlines,Sun,26,3:02,pm,625
United Airlines,Thu,23,4:58,pm,179
Alaska Airlines,Fri,3,7:00,am,169
Alaska Airlines,Fri,31,7:05,pm,169
Alaska Airlines,Sun,19,7:05,pm,469
United Airlines,Fri,17,6:05,pm,179
United Airlines,Tue,14,9:30,am,236
United Airlines,Sat,25,7:50,pm,389
United Airlines,Thu,30,8:08,pm,179
Alaska Airlines,Thu,9,5:55,pm,319
Alaska Airlines,Sun,12,7:00,am,419
United Airlines,Sun,26,9:58,am,389
United Airlines,Sun,19,4:58,pm,312
Alaska Airlines,Sat,11,7:00,am,419
Alaska Airlines,Fri,24,7:05,pm,169
United Airlines,Wed,15,9:30,am,230
United Airlines,Wed,8,7:50,pm,149
Alaska Airlines,Sun,12,5:55,pm,369
United Airlines,Wed,29,9:58,am,230
Alaska Airlines,Sat,18,7:05,pm,259
United Airlines,Thu,23,7:50,pm,179
United Airlines,Thu,9,7:50,pm,305
United Airlines,Fri,24,7:50,pm,179
United Airlines,Tue,28,9:58,am,247
United Airlines,Wed,22,4:58,pm,179
United Airlines,Sat,11,7:40,pm,312
United Airlines,Thu,9,9:30,am,389
United Airlines,Fri,24,9:30,am,270
United Airlines,Sat,4,7:50,pm,149
Alaska Airlines,Sat,4,7:00,am,149
